id,date,block,primary_type,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate
4786321,1072904460000,082XX S COLES AVE,THEFT,RESIDENCE,False,False,424,4,7.0,46.0,06,,
4676906,1046466000000,004XX W 42ND PL,OTHER OFFENSE,RESIDENCE,False,True,935,9,11.0,61.0,26,1173974.0,1876757.0
4789749,1087714800000,025XX N KIMBALL AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1413,14,35.0,22.0,20,,
4789765,1104426000000,045XX W MONTANA ST,THEFT,OTHER,False,False,2521,25,31.0,20.0,06,,
4677901,1051736400000,111XX S NORMAL AVE,THEFT,RESIDENCE,False,False,2233,22,34.0,49.0,06,1174948.0,1831051.0
4838048,1091304060000,012XX S HARDING AVE,THEFT,APARTMENT,False,False,1011,10,24.0,29.0,06,,
4791194,978336000000,114XX S ST LAWRENCE AVE,CRIM SEXUAL ASSAULT,RESIDENCE,True,True,531,5,9.0,50.0,02,1182247.0,1829375.0
4679521,1047675600000,090XX S RACINE AVE,OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,False,False,2222,22,21.0,73.0,26,1169911.0,1844832.0
4792195,1095314400000,003XX W HUBBARD ST,THEFT,RESIDENCE,False,False,1831,18,42.0,8.0,06,,
4680124,1041368400000,009XX S SPAULDING AVE,THEFT,RESIDENCE,False,False,1134,11,24.0,29.0,06,1154521.0,1895755.0
